title,price,year,km,url,petrol,transmission,model,site,use_type
Mercedes Benz GLA 220d 4Matic Style,499900.0,2018,64000.0,/cars/mercedes-benz-gla-220d-4matic-style-2018-id-5621318,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C220d Avantgarde auto,569900.0,2018,18000.0,/cars/mercedes-benz-c-class-c220d-avantgarde-auto-2018-id-5623004,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz CLA 200 A/T,399900.0,2017,46000.0,/cars/mercedes-benz-cla-200-a-t-2017-id-5658765,Petrol,Automatic,CLA,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,724900.0,2020,150.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2020-id-5798939,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A-Class Sedan A200 (4DR),609900.0,2020,1500.0,/cars/mercedes-benz-a-class-sedan-a200-4dr-2020-id-5802836,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,369900.0,2018,62915.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2018-id-5820225,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,639900.0,2019,8000.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2019-id-5537541,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200,585900.0,2019,150.0,/cars/mercedes-benz-gla-200-2019-id-5551584,Petrol,Manual,GL,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Line auto,558800.0,2018,1500.0,/cars/mercedes-benz-c-class-c180-amg-line-auto-2018-id-5327959,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C200 Edition C,482900.0,2018,20000.0,/cars/mercedes-benz-c-class-c200-edition-c-2018-id-5327980,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Line auto,509800.0,2018,1500.0,/cars/mercedes-benz-c-class-c180-amg-line-auto-2018-id-5372290,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 auto,685900.0,2019,1500.0,/cars/mercedes-benz-c-class-c200-auto-2019-id-5416841,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 auto,629900.0,2018,1500.0,/cars/mercedes-benz-c-class-c200-auto-2018-id-5423548,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 auto,599900.0,2019,1500.0,/cars/mercedes-benz-c-class-c180-auto-2019-id-5430548,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 auto,629900.0,2018,1500.0,/cars/mercedes-benz-c-class-c200-auto-2018-id-5472975,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 auto,584800.0,2019,2500.0,/cars/mercedes-benz-c-class-c180-auto-2019-id-5506793,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C180 Edition C,528800.0,2018,50.0,/cars/mercedes-benz-c-class-c180-edition-c-2018-id-5572523,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLS 500,1590900.0,2019,4500.0,/cars/mercedes-benz-gls-500-2019-id-5416815,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C200 auto,509900.0,2018,16000.0,/cars/mercedes-benz-c-class-c200-auto-2018-id-4853321,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C180 Edition C,479900.0,2018,19000.0,/cars/mercedes-benz-c-class-c180-edition-c-2018-id-4955348,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C250 BlueTec AMG Sports,439900.0,2017,75000.0,/cars/mercedes-benz-c-class-c250-bluetec-amg-sports-2017-id-5842693,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,619900.0,2019,16000.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2019-id-5874677,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz V-Class V250d AVANTGARDE A/T,1475900.0,2020,150.0,/cars/mercedes-benz-v-class-v250d-avantgarde-a-t-2020-id-5877467,Diesel,Automatic,V-Class,https://www.automart.co.za,
Mercedes Benz GLC 250d 4Matic AMG Line,528800.0,2017,72000.0,/cars/mercedes-benz-glc-250d-4matic-amg-line-2017-id-5840382,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class ,467900.0,2019,34000.0,/cars/mercedes-benz-c-class-2019-id-5840870,,,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200d Style,386900.0,2018,23000.0,/cars/mercedes-benz-a-class-a200d-style-2018-id-4983516,Diesel,Manual,A-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 Avantgarde auto,469900.0,2018,18850.0,/cars/mercedes-benz-a-class-a200-avantgarde-auto-2018-id-5020996,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz GLC 63S 4Matic,1384900.0,2018,10000.0,/cars/mercedes-benz-glc-63s-4matic-2018-id-5078008,,,GL,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde AMG Sports,629900.0,2019,14500.0,/cars/mercedes-benz-c-class-c180-avantgarde-amg-sports-2019-id-5523065,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,585800.0,2019,8000.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2019-id-5535894,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,509900.0,2018,1500.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2018-id-5552526,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200d Style,386900.0,2018,23000.0,/cars/mercedes-benz-a-class-a200d-style-2018-id-4983516,Diesel,Manual,A-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 Avantgarde auto,469900.0,2018,18850.0,/cars/mercedes-benz-a-class-a200-avantgarde-auto-2018-id-5020996,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C220 Bluetec auto,399900.0,2016,52000.0,/cars/mercedes-benz-c-class-c220-bluetec-auto-2016-id-5558884,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200 A/T,515900.0,2019,16900.0,/cars/mercedes-benz-gla-200-a-t-2019-id-5603045,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class ,739900.0,2019,1500.0,/cars/mercedes-benz-c-class-2019-id-5372291,,,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C300,758800.0,2019,13500.0,/cars/mercedes-benz-c-class-c300-2019-id-5372429,,,C-Class,https://www.automart.co.za,
Mercedes Benz GLC 63S 4Matic,1384900.0,2018,10000.0,/cars/mercedes-benz-glc-63s-4matic-2018-id-5078008,,,GL,https://www.automart.co.za,
Mercedes Benz CLA 200 A/T,299900.0,2017,83475.0,/cars/mercedes-benz-cla-200-a-t-2017-id-5807717,Petrol,Automatic,CLA,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,722900.0,2020,1500.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2020-id-5813531,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,395900.0,2018,61956.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2018-id-5819508,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 Avantgarde auto,629900.0,2019,15000.0,/cars/mercedes-benz-c-class-c200-avantgarde-auto-2019-id-5659233,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz ML ,419900.0,2015,68000.0,/cars/mercedes-benz-ml-2015-id-5679921,,,ML,https://www.automart.co.za,
Mercedes Benz GLC 220d 4Matic AMG Line,859900.0,2019,15000.0,/cars/mercedes-benz-glc-220d-4matic-amg-line-2019-id-5683383,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class ,338800.0,2016,101345.0,/cars/mercedes-benz-c-class-2016-id-5684165,,,C-Class,https://www.automart.co.za,
Mercedes Benz Vito 111 CDI Tourer Pro,418800.0,2017,23000.0,/cars/mercedes-benz-vito-111-cdi-tourer-pro-2017-id-5749781,Diesel,Manual,Vito,https://www.automart.co.za,
Mercedes Benz C Class C63 S,829900.0,2015,36000.0,/cars/mercedes-benz-c-class-c63-s-2015-id-5752378,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200 auto,599900.0,2020,87.0,/cars/mercedes-benz-gla-200-auto-2020-id-5786384,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class ,338800.0,2016,101345.0,/cars/mercedes-benz-c-class-2016-id-5684165,,,C-Class,https://www.automart.co.za,
Mercedes Benz Vito 111 CDI Tourer Pro,418800.0,2017,23000.0,/cars/mercedes-benz-vito-111-cdi-tourer-pro-2017-id-5749781,Diesel,Manual,Vito,https://www.automart.co.za,
Mercedes Benz C Class C63 S,829900.0,2015,36000.0,/cars/mercedes-benz-c-class-c63-s-2015-id-5752378,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200 auto,599900.0,2020,87.0,/cars/mercedes-benz-gla-200-auto-2020-id-5786384,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde AMG Sports,629900.0,2019,14500.0,/cars/mercedes-benz-c-class-c180-avantgarde-amg-sports-2019-id-5523065,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 Avantgarde auto,585800.0,2019,8000.0,/cars/mercedes-benz-c-class-c180-avantgarde-auto-2019-id-5535894,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,509900.0,2018,1500.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2018-id-5552526,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLC 220d 4Matic AMG Line,925900.0,2020,150.0,/cars/mercedes-benz-glc-220d-4matic-amg-line-2020-id-5795020,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz GLE 400d 4MATIC,1459900.0,2020,10000.0,/cars/mercedes-benz-gle-400d-4matic-2020-id-5796484,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,676900.0,2020,150.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2020-id-5798916,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 Avantgarde auto,534900.0,2019,150.0,/cars/mercedes-benz-a-class-a200-avantgarde-auto-2019-id-5803347,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C220 Bluetec auto,399900.0,2016,52000.0,/cars/mercedes-benz-c-class-c220-bluetec-auto-2016-id-5558884,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200 A/T,515900.0,2019,16900.0,/cars/mercedes-benz-gla-200-a-t-2019-id-5603045,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C Class C220 Bluetec Avantgarde auto,599900.0,2019,7500.0,/cars/mercedes-benz-c-class-c220-bluetec-avantgarde-auto-2019-id-5206542,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 auto,468800.0,2019,11000.0,/cars/mercedes-benz-a-class-a200-auto-2019-id-5219487,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz GLC 350d 4Matic AMG Line,699900.0,2018,28000.0,/cars/mercedes-benz-glc-350d-4matic-amg-line-2018-id-5281145,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C180 A/T,619900.0,2018,1500.0,/cars/mercedes-benz-c-class-sedan-c180-a-t-2018-id-5285818,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A Class A200 auto,469900.0,2018,7000.0,/cars/mercedes-benz-a-class-a200-auto-2018-id-5099163,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz GLC 350d 4Matic,788800.0,2018,9000.0,/cars/mercedes-benz-glc-350d-4matic-2018-id-5186458,Diesel,Automatic,GL,https://www.automart.co.za,
